;year;duration;Pop internationale;Pop internationale_prop;Dancefloor;Dancefloor_prop;Alternative;Alternative_prop;Singer & Songwriter;Singer & Songwriter_prop;Jazz;Jazz_prop;Comédie;Comédie_prop;Jazz instrumental;Jazz instrumental_prop;Films/Jeux vidéo;Films/Jeux vidéo_prop;Dub;Dub_prop;Chill Out/Trip-Hop/Lounge;Chill Out/Trip-Hop/Lounge_prop;R&B;R&B_prop;Pop indé/Folk;Pop indé/Folk_prop;Bandes originales;Bandes originales_prop;Comédies musicales;Comédies musicales_prop;Techno/House;Techno/House_prop;Electro Pop/Electro Rock;Electro Pop/Electro Rock_prop;Reggae;Reggae_prop;Jazz vocal;Jazz vocal_prop;Pop Indé;Pop Indé_prop;Soul & Funk;Soul & Funk_prop;Folk;Folk_prop;Musique brésilienne;Musique brésilienne_prop;Rap/Hip Hop;Rap/Hip Hop_prop;East Coast;East Coast_prop;Rock & Roll/Rockabilly;Rock & Roll/Rockabilly_prop;Rock indé;Rock indé_prop;Pop;Pop_prop;Blues;Blues_prop;Musique africaine;Musique africaine_prop;Rock;Rock_prop;Rock français;Rock français_prop;Disco;Disco_prop;Rock Indé/Pop Rock;Rock Indé/Pop Rock_prop;Variété Internationale;Variété Internationale_prop;Classique;Classique_prop;Soul;Soul_prop;Country;Country_prop;Jeunesse;Jeunesse_prop;Bolero;Bolero_prop;Electro;Electro_prop;Hard Rock;Hard Rock_prop;Latino;Latino_prop;Musiques de films;Musiques de films_prop;R&B contemporain;R&B contemporain_prop;Trance;Trance_prop;Metal;Metal_prop;Chanson française;Chanson française_prop;Dance;Dance_prop
20;1981;262;2;3.2;0;0.0;1;1.6;0;0.0;1;1.6;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;2;3.2;0;0.0;0;0.0;0;0.0;0;0.0;1;1.6;1;1.6;0;0.0;0;0.0;1;1.6;30;48.4;0;0.0;0;0.0;14;22.6;1;1.6;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;3.2;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;2;3.2;0;0.0
21;1982;248;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.6;30;47.6;0;0.0;0;0.0;13;20.6;0;0.0;2;3.2;0;0.0;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;2;3.2;2;3.2;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;6;9.5;2;3.2
22;1983;251;3;4.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;4.2;0;0.0;0;0.0;3;4.2;0;0.0;1;1.4;0;0.0;1;1.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.4;0;0.0;30;41.7;0;0.0;0;0.0;16;22.2;0;0.0;2;2.8;0;0.0;1;1.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.4;0;0.0;0;0.0;3;4.2;0;0.0;0;0.0;0;0.0;2;2.8;5;6.9
23;1984;277;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.7;4;6.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;3.3;0;0.0;0;0.0;0;0.0;28;46.7;0;0.0;0;0.0;15;25.0;0;0.0;1;1.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;3.3;1;1.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;6.7;2;3.3
24;1985;266;0;0.0;0;0.0;1;1.7;0;0.0;0;0.0;0;0.0;0;0.0;4;6.8;0;0.0;0;0.0;4;6.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;27;45.8;0;0.0;0;0.0;9;15.3;0;0.0;1;1.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.7;1;1.7;1;1.7;2;3.4;0;0.0;0;0.0;0;0.0;2;3.4;6;10.2
25;1986;256;2;3.1;0;0.0;1;1.6;0;0.0;1;1.6;0;0.0;0;0.0;3;4.7;0;0.0;0;0.0;2;3.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;3.1;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;33;51.6;0;0.0;0;0.0;7;10.9;0;0.0;1;1.6;0;0.0;2;3.1;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;1;1.6;0;0.0;3;4.7;0;0.0;0;0.0;1;1.6;2;3.1;1;1.6
26;1987;248;5;7.5;1;1.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;38;56.7;0;0.0;0;0.0;12;17.9;0;0.0;1;1.5;0;0.0;2;3.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;6.0;2;3.0
27;1988;252;4;6.5;0;0.0;1;1.6;0;0.0;1;1.6;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.6;1;1.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;36;58.1;0;0.0;0;0.0;6;9.7;0;0.0;1;1.6;0;0.0;2;3.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.6;0;0.0;0;0.0;0;0.0;3;4.8;4;6.5
28;1989;276;3;5.1;0;0.0;1;1.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;3.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.7;0;0.0;1;1.7;0;0.0;39;66.1;0;0.0;0;0.0;7;11.9;0;0.0;0;0.0;0;0.0;1;1.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.7;0;0.0;0;0.0;0;0.0;0;0.0;1;1.7;2;3.4
29;1990;262;1;1.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;5.7;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;5.7;0;0.0;0;0.0;0;0.0;31;58.5;0;0.0;0;0.0;7;13.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;1;1.9;0;0.0;0;0.0;0;0.0;3;5.7
30;1991;270;1;2.0;0;0.0;2;4.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;2.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;2.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;4.1;0;0.0;0;0.0;0;0.0;28;57.1;0;0.0;0;0.0;9;18.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;5;10.2;0;0.0
